Trade_ID,Date,Time,Instrument,Setup_Type,Session,Risk_Reward_Ratio,Risk_Amount,Win_Loss,PnL,Balance,Peak_Balance,Drawdown_Pct,Cumulative_PnL,Trade_Number,Win_Binary,Day_of_Week,Month,Year,Quarter,Hour,Streak,Longest_Win_Streak_20,Longest_Loss_Streak_20,Streak_Momentum,Trades_Since_Last_Win,Trades_Since_Last_Loss,MA_PnL_5,MA_Balance_5,MA_PnL_10,MA_Balance_10,MA_PnL_20,MA_Balance_20,MA_PnL_50,MA_Balance_50,PnL_Velocity_5,Balance_Momentum_10,PnL_Acceleration,PnL_Volatility_10,PnL_Volatility_20,PnL_Volatility_50,CV_20,Drawdown_Dollar,Recovery_Rate,MAE_Proxy,Risk_Adjusted_Return_20,Trades_Per_Day,DateTime,Hours_Since_Last_Trade,Potential_Revenge_Trade,Risk_Change_Pct,Risk_Escalation,Same_Session_As_Prev,Setup_Changes_10,Hour_Sin,Hour_Cos,DayOfWeek_Num,DayOfWeek_Sin,DayOfWeek_Cos,Month_Num,Month_Sin,Month_Cos,Is_Monday,Is_Friday,Days_In_Month,Day_Of_Month,Is_Month_End,Is_Month_Start,Win_Rate_10,Win_Rate_20,Win_Rate_50,Profit_Factor_20,Profit_Factor_50,Avg_Win_Loss_Ratio_20,Expectancy_20,Performance_Percentile
22,2023-02-15,00:06,NZD/USD,Scalping,Sydney,3.0,110.48,Loss,-110.48,11662.79,11773.27,0.94,1662.7700000000004,22,0,Wednesday,February,2023,1,0,-1,3,3,110.48,1,0,60.60799999999998,11557.408,75.127,11317.261999999999,68.978,11069.412,75.58045454545454,10993.229090909092,-0.05,6.885206538783373,-279.4000000000001,161.37348495200678,165.9904663590812,159.75873376460288,2.406426199064647,110.47999999999956,-1.000000000000004,110.48,0.41555398640053437,1,2023-02-15 00:06:00,30.616666666666667,0,30.807482832109876,0,0,10.0,0.0,1.0,2,0.9749279121818236,-0.22252093395631434,2,0.8660254037844386,0.5000000000000001,0,0,28,15,0,0,60.0,55.00000000000001,59.09090909090909,2.519590240678526,2.8315470617392737,2.0614829241915213,68.978,10.6
23,2023-02-20,20:10,NAS100,Trend Following,New York,3.0,87.96,Win,263.87,11926.66,11926.66,0.0,1926.6400000000003,23,1,Monday,February,2023,1,20,1,3,3,263.87,0,1,135.42799999999997,11692.838,112.252,11429.516,70.0125,11139.425,83.76695652173912,11033.813043478262,3.25,10.389925324783489,374.3499999999999,157.37607948972283,167.1933980336922,160.94768115008347,2.3880506771461123,0.0,0.0,87.96,0.4187515824392261,2,2023-02-20 20:10:00,140.06666666666666,0,-20.38377986965968,0,0,10.0,-0.8660254037844386,0.5000000000000001,0,0.0,1.0,2,0.8660254037844386,0.5000000000000001,1,0,28,20,0,0,70.0,55.00000000000001,60.86956521739131,2.542380349176626,3.122200804097593,2.0801293765990576,70.0125,87.6
24,2023-02-20,17:07,NAS100,Swing,Overlap-EU-US,1.0,103.96,Win,103.96,12030.62,12030.62,0.0,2030.6000000000004,24,1,Monday,February,2023,1,17,2,3,3,207.92,0,2,106.69599999999998,11799.536,103.439,11532.956,67.863,11207.2885,84.60833333333333,11075.346666666666,-0.65,9.4068689058604,-159.90999999999985,154.8558594629212,166.4267914635204,157.46389545230517,2.4523936675879403,0.0,0.0,103.96,0.4077648760949351,2,2023-02-20 17:07:00,-3.05,0,18.19008640291042,0,0,10.0,-0.9659258262890683,-0.25881904510252063,0,0.0,1.0,2,0.8660254037844386,0.5000000000000001,1,0,28,20,0,0,70.0,55.00000000000001,62.5,2.4950267114611444,3.2367131133997904,2.041385491195482,67.863,55.00000000000001
25,2023-02-22,11:05,NZD/USD,Swing,Overlap-Asia-EU,1.5,82.32,Loss,-82.32,11948.3,12030.62,0.68,1948.2800000000004,25,0,Wednesday,February,2023,1,11,-1,3,3,82.32,1,0,68.78999999999999,11868.328,79.274,11612.232,52.045500000000004,11259.335,77.9312,11110.264799999999,-50.248,7.106424251985999,-186.27999999999997,163.76343535722495,164.82834083325025,157.7224181201476,3.167004656180654,82.32000000000153,-0.9999999999999813,82.32,0.3157557719558204,1,2023-02-22 11:05:00,41.96666666666667,0,-20.815698345517507,0,0,9.0,0.258819045102521,-0.9659258262890682,2,0.9749279121818236,-0.22252093395631434,2,0.8660254037844386,0.5000000000000001,0,0,28,22,0,0,60.0,50.0,60.0,2.051243725824858,2.9676217215225664,2.0512437258248584,52.045500000000004,46.800000000000004
26,2023-02-24,02:08,XAU/USD,Scalping,Sydney,1.0,119.12,Loss,-119.12,11829.18,12030.62,1.67,1829.1600000000003,26,0,Friday,February,2023,1,2,-2,3,3,238.24,2,0,11.181999999999984,11879.51,75.92099999999999,11688.154,50.283,11309.618999999999,70.35230769230769,11137.915384615384,-1.7280000000000002,6.858380698755928,-36.80000000000018,167.80735631140317,166.53776780753307,159.2944963093877,3.31200938304264,201.4400000000005,-0.5913423351866546,119.12,0.3019315117644175,1,2023-02-24 02:08:00,39.05,0,44.70359572400391,1,0,9.0,0.49999999999999994,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,2,0.8660254037844386,0.5000000000000001,0,1,28,24,0,0,60.0,50.0,57.692307692307686,1.9807298472820891,2.6489466235159425,1.9807298472820893,50.283,0.8
27,2023-02-27,04:38,XAU/USD,Scalping,Sydney,3.0,86.61,Loss,-86.61,11742.58,12030.62,2.39,1742.5500000000004,27,0,Monday,February,2023,1,4,-3,3,3,259.83,3,0,15.955999999999985,11895.467999999999,38.282,11726.438,51.02499999999999,11360.645,64.53888888888889,11160.310370370371,-70.096,3.3701475561940697,32.51000000000022,156.32853239252265,165.8578200400001,159.09516893824016,3.2505207259186695,288.0400000000009,-0.3006874045271481,86.61,0.3076430160947144,1,2023-02-27 04:38:00,74.5,0,-27.291806581598387,0,1,8.0,0.8660254037844386,0.5000000000000001,0,0.0,1.0,2,0.8660254037844386,0.5000000000000001,1,0,28,27,1,0,50.0,50.0,55.55555555555556,2.009816145183954,2.457103436742202,2.009816145183954,51.02499999999999,41.0
28,2023-03-01,13:42,NAS100,Reversal,London,1.5,108.52,Win,162.78,11905.35,12030.62,1.04,1905.3300000000004,28,1,Wednesday,March,2023,1,13,1,3,3,162.78,0,1,-4.262000000000017,11891.206,65.583,11792.022,41.8515,11402.497,68.0475,11186.918928571427,11.764000000000001,5.829942815287059,249.38999999999987,151.26796760495372,153.2654783554546,157.22120749476233,3.6621262883159407,125.27000000000044,1.2994332242356466,108.52,0.2730654055242476,1,2023-03-01 13:42:00,57.06666666666667,0,25.2973097794712,1,0,8.0,-0.2588190451025208,-0.9659258262890683,2,0.9749279121818236,-0.22252093395631434,3,1.0,6.123233995736766e-17,0,0,31,1,0,1,60.0,50.0,57.14285714285714,1.8282669358190347,2.59321849652981,1.8282669358190347,41.8515,67.2
29,2023-03-03,20:04,XAU/USD,Trend Following,New York,3.0,98.06,Win,294.18,12199.53,12199.53,0.0,2199.51,29,1,Friday,March,2023,1,20,2,3,3,588.36,0,2,33.78199999999998,11924.988000000001,70.239,11862.261999999999,62.106500000000004,11464.604000000001,75.84517241379311,11221.836551724138,75.3,6.109350768409172,131.39999999999986,158.05776647584685,158.68556636101405,159.99691054206303,2.555055692415674,0.0,0.0,98.06,0.39138090139027515,1,2023-03-03 20:04:00,54.36666666666667,0,-9.638776262440096,0,0,8.0,-0.8660254037844386,0.5000000000000001,4,-0.433883739117558,-0.9009688679024191,3,1.0,6.123233995736766e-17,0,1,31,3,0,1,60.0,55.00000000000001,58.620689655172406,2.3806660293888804,2.839208963960197,1.947817660409084,62.106500000000004,93.60000000000001
30,2023-03-06,10:04,SPX500,Breakout,Overlap-Asia-EU,3.0,89.2,Win,267.61,12467.14,12467.14,0.0,2467.1200000000003,30,1,Monday,March,2023,1,10,3,3,3,802.83,0,3,103.76799999999999,12028.756,86.279,11948.542,80.04299999999999,11544.6475,82.23733333333332,11263.346666666668,77.346,7.435149263120522,-26.56999999999971,169.92022922209378,160.71551165106362,161.0654478440221,2.0078646683790415,0.0,0.0,89.2,0.4980415342470788,1,2023-03-06 10:04:00,62.0,0,-9.03528451968183,0,0,8.0,0.49999999999999994,-0.8660254037844387,0,0.0,1.0,3,1.0,6.123233995736766e-17,1,0,31,6,0,0,60.0,60.0,60.0,2.9799391495782523,3.062981854670123,1.9866260997188347,80.04299999999999,89.0
31,2023-03-07,22:21,EUR/USD,Scalping,Sydney,1.5,82.7,Win,124.04,12591.19,12591.19,0.0,2591.1600000000003,31,1,Tuesday,March,2023,1,22,4,4,3,496.16,0,4,152.39999999999998,12181.158000000001,81.791,12030.333999999999,91.5855,11636.234,83.5858064516129,11306.180322580645,42.13,6.947262740088345,-143.57000000000016,168.0776591307985,154.76929253008547,158.5361545888759,1.6898886016900652,0.0,0.0,82.7,0.5917549825473084,1,2023-03-07 22:21:00,36.28333333333333,0,-7.286995515695072,0,0,8.0,-0.5000000000000004,0.8660254037844384,1,0.7818314824680298,0.6234898018587336,3,1.0,6.123233995736766e-17,0,0,31,7,0,0,60.0,65.0,61.29032258064516,3.6102774571416356,3.1667029015803996,1.943995553845496,91.5855,59.4
32,2023-03-09,02:08,AUD/USD,News Trading,Sydney,2.0,106.76,Win,213.52,12804.71,12804.71,0.0,2804.6800000000003,32,1,Thursday,March,2023,1,2,5,5,3,1067.6000000000001,0,5,212.426,12393.583999999999,114.191,12144.526000000002,94.65899999999999,11730.893999999998,87.64625,11353.009375,10.148000000000001,9.791139169958463,89.48000000000002,157.81060642076278,156.63236923983567,157.640533672186,1.654701288201182,0.0,0.0,106.76,0.6043386846499016,1,2023-03-09 02:08:00,27.783333333333335,0,29.09310761789601,0,1,8.0,0.49999999999999994,0.8660254037844387,3,0.43388373911755823,-0.900968867902419,3,1.0,6.123233995736766e-17,0,0,31,9,0,0,70.0,65.0,62.5,3.6978752511649775,3.3452462580483315,1.9911635967811419,94.65899999999999,76.0
33,2023-03-13,23:26,SPX500,News Trading,Sydney,2.5,89.72,Loss,-89.72,12714.99,12804.71,0.7,2714.9600000000005,33,0,Monday,March,2023,1,23,-1,5,3,89.72,1,0,161.926,12555.511999999999,78.83200000000001,12223.359,95.542,11826.4375,82.27151515151515,11394.281515151515,-76.78,6.609813644389972,-303.2399999999998,160.14264181937583,155.47897930690115,158.2000477662936,1.627336452103799,89.71999999999935,-1.0000000000000073,89.72,0.6145010754888538,1,2023-03-13 23:26:00,117.3,0,-15.961034095166738,0,1,7.0,-0.25881904510252157,0.9659258262890681,0,0.0,1.0,3,1.0,6.123233995736766e-17,1,0,31,13,0,0,60.0,65.0,60.60606060606061,3.79333986287953,3.111790420186369,2.0425676184735932,95.542,37.0
